Serial,Aspect,Opinion(List)
86,ntu.nlp.component.WordWithEmotion@2193be98,竟说IT人_很破_不能_简直是_让_却没有_太夸张_拿_后大失所望_完_都是_多_就塞_不能_淋浴没有_只想_去_不去_休息_很大声_还有_到_只好打_全是_洗_太失望_不想_刷卡_用_大_没找到_也散_并续_慢_很脏_难打开_还怕_结_最夸张_不要_遗留_住_才了解_带粘_做_不会_送_正义路跑_找_都要_不能_开_插座_用_预付_开窗_害得_有_一定要_才预订_是_再去_都要_领到_查_都有_结果去_出来_走_说_以后是_就是_洗_进去_铺块_想_绕_说_挂_去check-in_不会_好_还有_以便能_都有_被_刷_算有_要_找人_困难_
87,ntu.nlp.component.WordWithEmotion@6ac5fe60,不是_太好_还不错_
88,ntu.nlp.component.WordWithEmotion@6cbf8763,快捷_高_
89,ntu.nlp.component.WordWithEmotion@1251ac5c,觉得_不错_看到_就订_都有_
90,ntu.nlp.component.WordWithEmotion@300ad569,还可以_适中_
91,ntu.nlp.component.WordWithEmotion@1740f923,要求_多么让_出来_说_染_住_是_摆平_没有换_买_表示_失望_喝_请_就想_竟然有_就是_发生_拉掉_简单_是_去_这么做_例假_就是_出来_恶心_看_令_最终解决_前_相信_赔偿_无法容忍_要求_大_找来_染_有_不是_再入住_睡_无法消除_就铺上_可乐时候喷_点评_补充_有点过火_绝对是_带_说_简单洗完_一起去_高出_好好检查_也够_有_打_说_就能_不开心_一看_定_完全能_好像是_一下有_不说_把_折_就急_要求_结账_发现_是_是_是否是_吐_检查_惊讶_没有_
92,ntu.nlp.component.WordWithEmotion@2aa474c2,休息_不要_发现_就是_住在_强调_
93,ntu.nlp.component.WordWithEmotion@12ed826d,被_接_给_截_之后派车_真好_
94,ntu.nlp.component.WordWithEmotion@270dcbd0,有_
95,ntu.nlp.component.WordWithEmotion@7abfd8b7,热水_才来_要_
96,ntu.nlp.component.WordWithEmotion@492d1556,很差_都没有_还是豪华_又薄_不阻_居然连_
97,ntu.nlp.component.WordWithEmotion@2ed3e6a2,淋浴_只能_很干净_挂_宽敞_没有_不成_小型_液晶_
98,ntu.nlp.component.WordWithEmotion@59caadb2,开门_再次被_要_赶上_健康_不会_是_刚住完_退房_吃_稍好_甲_好像没_雷到.换_差点被_过高_点评_砍价_留下_严重影响_熏倒_刚开门_有_会_入住_吃_有_回来_补充_
99,ntu.nlp.component.WordWithEmotion@951af2c,不说_要_实在是_打_说_住_不要_实在是_随便住_建议_不负责任_回来_说_晚点_说_太差_打给_打_说_是_可以_打_接_没有接到_无法联系_还答应_差_说_订_没有接到_还好意思_完全是_到_完全没有_没有接到_到_上_可能_
100,ntu.nlp.component.WordWithEmotion@51c3767b,用餐_再来_吃好_就没_实在找_基本看_还叫_不闻_结束_最多_形容_一眼瞥见_要_完_不到_对_看_超出_进来_写道_用_是_不出_不起_不要浪费_说_欢迎_不问_更贴切_特别是_没吃_就是_没说_只能_
101,ntu.nlp.component.WordWithEmotion@7797af2c,很小_陈旧_大概是_
102,ntu.nlp.component.WordWithEmotion@76daf0b,还可以_还不错_
103,ntu.nlp.component.WordWithEmotion@31fefefc,结果是_住_不畅_开业_还可以_只有_排水_最好_是_可怜_想_建_发液_坐_靠_还是_卫生间糟糕_而且放洗_也小_可想而知_透_本来是_都没有_处在_左肩膀靠_
104,ntu.nlp.component.WordWithEmotion@5c166c08,还满意_尚可_很大_
105,ntu.nlp.component.WordWithEmotion@440eb073,少_只好上去_数错_来_打算_去_预订_结账_看_结果是_硬说_
106,ntu.nlp.component.WordWithEmotion@206270ed,只是_有_找_才找到_好找_很嘈杂_
107,ntu.nlp.component.WordWithEmotion@1ee3e837,是_成功_不停_高级_转为_是_要_圆_竟然有_错误_差不多_打死_退房_搞_将预授权_不清_应该_不住_的确是_终于消费_红色_不是_折腾_是_消费_一样_
108,ntu.nlp.component.WordWithEmotion@4a282b9,错误_不到_糟糕_服务_上当_
109,ntu.nlp.component.WordWithEmotion@4934420f,烂_怎么说_实在烂_推荐_
110,ntu.nlp.component.WordWithEmotion@5dd0c55,有_不怎么_低_
111,ntu.nlp.component.WordWithEmotion@7354a374,总的说来是_有所_方便_是_自然_也热闹_
112,ntu.nlp.component.WordWithEmotion@39b74fd3,奉劝_还是跑远_
113,ntu.nlp.component.WordWithEmotion@31d9c33f,很热情_5:00离开_体贴_让_感到_十分温馨_准备_
114,ntu.nlp.component.WordWithEmotion@4fa176aa,不能_说_一点会_带走_进去_告知_迟_交给_
115,ntu.nlp.component.WordWithEmotion@7175bbbd,就是_好远_灰色_快捷_相差_得到_是_优秀_很浓_再住_是_有_住_很脏_是_没有_不会_
116,ntu.nlp.component.WordWithEmotion@6878af7c,使用_看到_冷水_也有_比较小_脏_淋_发霉_使_容易漏水_没敢_不敢_上当_不方便_开_怎么干净_有_变_综合_怎么好_连放冷水_逛_有_很远_很湿_感觉_不远_很静_喝_很方便_出行_不好_
117,ntu.nlp.component.WordWithEmotion@4b492b79,不会_真的让_就相当于_再住_大失所望_最多_简易_
118,ntu.nlp.component.WordWithEmotion@30c53b8c,是_大_大_介绍_说话_点评_挖_大_没有_携程_恶心_补充_简单_坐_很差_最差_
119,ntu.nlp.component.WordWithEmotion@64c87d57,唯一_感觉_不起_很不错_星级_
120,ntu.nlp.component.WordWithEmotion@269d0e72,都会_比较好_每次去_住_算是_出差_
121,ntu.nlp.component.WordWithEmotion@111f722c,知_就有_幽静_叫_太起劲_没_才休息_醒来_就是_说_要_俄式_
122,ntu.nlp.component.WordWithEmotion@2780af7c,很便利_很近_
123,ntu.nlp.component.WordWithEmotion@71810a26,没_服务_说_值得_入住_
124,ntu.nlp.component.WordWithEmotion@4ec17f01,有线_预定_都会_不是_才罢休_可能_问_服务_想_不见_有_担心_就纳闷_这么倒霉_真的有待_预定_动用_强烈要求_
125,ntu.nlp.component.WordWithEmotion@179430c,不便_是_差_最可恶_变相_恶意_小_
126,ntu.nlp.component.WordWithEmotion@4020c995,还可以_每次去_可以_是_都住_贵_不错滴_过_很方便_
127,ntu.nlp.component.WordWithEmotion@28927617,高_住_没有_感觉_差_打扫_没见_点评_补充_
128,ntu.nlp.component.WordWithEmotion@2786f4d0,较硬_就是_较小_还不错_
129,ntu.nlp.component.WordWithEmotion@d3297f6,没有_去_没_小_不是_一般_很一般_没有_
130,ntu.nlp.component.WordWithEmotion@74969e3e,太大_换到_感觉_号称_没别_
131,ntu.nlp.component.WordWithEmotion@4c6f343e,是_加分_说_应该_最好_给_
132,ntu.nlp.component.WordWithEmotion@18cef9a6,有_几乎等于_太差_大_太差_极差_有_
133,ntu.nlp.component.WordWithEmotion@3c680e03,快捷_产生_订_至今困扰_是_已记_新_是_入住_不清楚_有余_高级_
134,ntu.nlp.component.WordWithEmotion@537005f0,较大_不错_服务_
135,ntu.nlp.component.WordWithEmotion@5f95fa5b,乱哄哄_布置_要_差无比_
136,ntu.nlp.component.WordWithEmotion@6f679d63,非常好_
137,ntu.nlp.component.WordWithEmotion@7b8e07b8,重新装修_还是_后来看到_选_说_
138,ntu.nlp.component.WordWithEmotion@299d0067,有待_不熟悉_太小_也小_
139,ntu.nlp.component.WordWithEmotion@2857f89,有_小_比较偏远_大_
140,ntu.nlp.component.WordWithEmotion@a77fcaa,很大_淋浴_搞_住_只能_一跳_感觉_昏暗_不过床_不好_蛮干净_太旧_经济型_进屋_住_吓_
141,ntu.nlp.component.WordWithEmotion@4b6d0244,失望_
142,ntu.nlp.component.WordWithEmotion@61afe50b,携程_确实有_
143,ntu.nlp.component.WordWithEmotion@62e66747,就是_差_办理_太贵_知_什么没_免费办理_好像要_是_要_
144,ntu.nlp.component.WordWithEmotion@486990b,简陋_不热_没有_可洗澡_
145,ntu.nlp.component.WordWithEmotion@20a9a37f,定_
146,ntu.nlp.component.WordWithEmotion@612cf799,非常满意_不会_订_
147,ntu.nlp.component.WordWithEmotion@4f338fa6,挺方便_符合_合适_挺实惠_
148,ntu.nlp.component.WordWithEmotion@421c03e9,而订_有_不到_仓促_方便_
149,ntu.nlp.component.WordWithEmotion@3d44d7e7,闹_有点老化_毕竟是_取静_漱用_配_洗_
150,ntu.nlp.component.WordWithEmotion@72ba9e1d,再来_也可以_还会_都不错_
151,ntu.nlp.component.WordWithEmotion@39e2bcc3,整体_不协助_停车_都走_不好_是_五星级_就是_找_停_不是_像_五星_很理想_不像_不了_是_不让_
152,ntu.nlp.component.WordWithEmotion@54d6c3e5,去_坐_很近_十分方便_是_
153,ntu.nlp.component.WordWithEmotion@5fd71ae6,才发觉_只需_的确是_偏高_同样_
154,ntu.nlp.component.WordWithEmotion@23272332,还是_显得_有些陈旧_
155,ntu.nlp.component.WordWithEmotion@5e77b9a5,就是_很小_小_很旧_
156,ntu.nlp.component.WordWithEmotion@63d3017,感觉_还满意_
157,ntu.nlp.component.WordWithEmotion@1b203934,换_怎么会_没有_叫_之前看到_没热方_马上搬去_要_居然说_没热水_不到_可考芦_说_是_还是_有_说_
158,ntu.nlp.component.WordWithEmotion@608b92d5,发霉_就是_热水_吓_达到_浓重_只能_就进入_就应该_过_结账_刷_冷汗_刷卡_还算_出_没有_降级_不敲门_去_就没有_不会_连刷_
159,ntu.nlp.component.WordWithEmotion@6b550f77,缺乏_
160,ntu.nlp.component.WordWithEmotion@1d6a84ae,感到_比较温馨_有_滚动_入住_
161,ntu.nlp.component.WordWithEmotion@3c2cca98,选择_可以_很快_去_又短_想_免费_很近_参观_有_
162,ntu.nlp.component.WordWithEmotion@20a8e005,发霉_够大_还不错_太贵_有_还是_
163,ntu.nlp.component.WordWithEmotion@2f0b7903,不错_很舒适_
164,ntu.nlp.component.WordWithEmotion@1a35cc16,贵_有_
165,ntu.nlp.component.WordWithEmotion@41e9c5cb,有_好_
166,ntu.nlp.component.WordWithEmotion@5ab8b43b,很好_特别是_很有_很好_
167,ntu.nlp.component.WordWithEmotion@1440bc05,从别出弄_方便_吵醒_没有小_房送_稍有陈旧_有_都有_就开工_非常好_很热情_在装修_送_也算_很棒_还行_被_隔壁_非常丰盛_来_没有_没有_极差_不着_说话_很快_特地帮_比较有_完全睡_不错_
168,ntu.nlp.component.WordWithEmotion@25f7f6a6,看_不错_住_
169,ntu.nlp.component.WordWithEmotion@3a621fc3,小_后来细致_得到_有_很快_入微_深感_开始_入住_积极_
170,ntu.nlp.component.WordWithEmotion@135927,很丰盛_已经是_很干净_订_很好_
171,ntu.nlp.component.WordWithEmotion@76420f7a,入住_很多_比较好_推荐_是_可以_入住_
172,ntu.nlp.component.WordWithEmotion@6b064f3d,
173,ntu.nlp.component.WordWithEmotion@6b3c64af,方便_有_吃饭_
174,ntu.nlp.component.WordWithEmotion@49f65429,方便_值得_都成_没_甚至想_不行_去_就去_乱七八糟_不得安生_唯一_不夸张_多样_好不容易摆好_很困难_就是_可取_接连不断_说_试试_可怕_不到_提_插口_别说_实在是_让_找_又找_可口_放置_讲_
175,ntu.nlp.component.WordWithEmotion@4b0f75ae,中途_可积分_走_入住_携程客服_都冷_带回_睡_浩浩荡荡开拔_延长_休息_都有_不想_可以_独立_等到达_有_到_不行_带有_好_才用_不起来_私下转包_没_找_都方便_没宽带_不能_是_就没_到_打到_没宽_都挤到_拿_起来_多花_有_还好_复位_却当头_轰下_竟然说_说_有_住在_赶紧找_打_被_修_较小_协调_只有_不是_不挨_还好_招待_客服_盖_预定_开车_不知道_封闭_怎么_把_修没_带_还得_大_缓慢运动_也有_较脏_较旧_整体_只好回来_还没有_严重影响_有_不能_比较通融_答应_只带回_要_大_到_
176,ntu.nlp.component.WordWithEmotion@63f71901,很近_过去_走_很好_
177,ntu.nlp.component.WordWithEmotion@738ac3ec,非常快_老_达到_小_非常爽_碰到_下载_住_是_真是_
178,ntu.nlp.component.WordWithEmotion@1b44f637,很大_就是_等_不是_可能去_蛮温馨_免费上网_会_但感觉_吃饭_有_
179,ntu.nlp.component.WordWithEmotion@4c80a2dd,在使用_太偏僻_有点破旧_
180,ntu.nlp.component.WordWithEmotion@11448268,不错_之前听说_非常差_打_预订_咨询_到_没想到_不耐烦_
181,ntu.nlp.component.WordWithEmotion@28cd82b3,结账_收费_派人_晶丽_非常难得_很不错_是否使用_那样问_仍要_
182,ntu.nlp.component.WordWithEmotion@4c3fcab2,到_询问_是_没感觉_都是_湿_会_湿_打电话_只是说明_
183,ntu.nlp.component.WordWithEmotion@70149339,很差_
184,ntu.nlp.component.WordWithEmotion@56cdbcab,锁在_考虑_太差_出_累死_强烈建议_不会_越来越差_经济型_不来_差点被_坏_爬到_住_快_
185,ntu.nlp.component.WordWithEmotion@5d1dab12,看_
186,ntu.nlp.component.WordWithEmotion@46ca5a80,是_良好_仔细介绍_选_到_怎么乘车_该_都经过_是_安静_靠近_难叫到_反复比较_去_感觉_接待_挑_还算_不管_回来_下班_
187,ntu.nlp.component.WordWithEmotion@efbadcf,让_更是_心旷_绝对是_
188,ntu.nlp.component.WordWithEmotion@2d4ff8b8,发现_绕_才住_绕_不要_基本上没有_出差_竟然给_结果10元_很远_就会_不好_属于_不严格_是_入住_不是_
189,ntu.nlp.component.WordWithEmotion@5d520f45,大约等_较近_比较好_叫_
190,ntu.nlp.component.WordWithEmotion@3668aae0,基本上是_估计_是_太小_是_就上床_看_是_不到_进屋_是_但是有_怎么设计_挺大_都放_不知道_不开_应该_给_
191,ntu.nlp.component.WordWithEmotion@11aa7408,吗离_出租车费_不错_算大_
192,ntu.nlp.component.WordWithEmotion@4da7c247,就推荐_想想_来_让_离_
193,ntu.nlp.component.WordWithEmotion@40c3eb25,起_成_叫_一问三不知_梦得_吸引_
194,ntu.nlp.component.WordWithEmotion@7e82eb5a,整个脱落_巨大_把_都可以_没有_没有_听到_一碰_便会_总控制_
195,ntu.nlp.component.WordWithEmotion@4529a299,比较舒适_良好_整洁_明亮_还是_
196,ntu.nlp.component.WordWithEmotion@30720e48,太差_定_所谓_不能_实在是_结果小_再小_还没有_
197,ntu.nlp.component.WordWithEmotion@1007b1d1,比较好_都达到_就是_有_
198,ntu.nlp.component.WordWithEmotion@692b188f,成_是_应该_改建_
199,ntu.nlp.component.WordWithEmotion@c598a3a,好远_没有_是_优秀_得到_再住_相差_有_快捷_很浓_灰色_很脏_是_不会_住_是_就是_
200,ntu.nlp.component.WordWithEmotion@4a81ec2b,
201,ntu.nlp.component.WordWithEmotion@17b82144,关门_难吃_好像有_都是_黑_很赃_大吉_还少_有_点要_
202,ntu.nlp.component.WordWithEmotion@39900386,够大_
203,ntu.nlp.component.WordWithEmotion@1dd76ff0,宰_吃饭_没有_让_被_到_
204,ntu.nlp.component.WordWithEmotion@2af604de,很干净_很丰盛_订_很好_已经是_
205,ntu.nlp.component.WordWithEmotion@7db9a0da,看_得23_看_闹_正好有_算_很全面_看_很美_但是起码_不错_住_取静_有_陈旧_白渡桥_也是_住_很不错_可能_来_真正_才能_在所难免_到_一直可以_看到_很是_有_还会_不能_不够_有_全_适合_高_安静_下次要_挡_看_很大_最美_
206,ntu.nlp.component.WordWithEmotion@25ef88b2,舒适_上网_偏贵_安静_靠近_干净_
207,ntu.nlp.component.WordWithEmotion@10f77193,非常适合_比较简单_是_打_服务_达标_差_比较困难_
208,ntu.nlp.component.WordWithEmotion@65417298,不好_太草率_服务_太小_还不错_好_豪华_不错_
209,ntu.nlp.component.WordWithEmotion@2bca8d17,达标_比较困难_服务_比较简单_打_非常适合_差_是_
210,ntu.nlp.component.WordWithEmotion@7ef4f776,服务_超热_没见到_睡觉_太厚_一般_较好_
211,ntu.nlp.component.WordWithEmotion@4a2a518,都没有_说_不了_明显骗_要求_还说_太脏_没有_走_说_换_回答_修理_没有热水_不住_明确告诉_坏_说_搬_
212,ntu.nlp.component.WordWithEmotion@5204cd08,比较人性化_很好吃_很好_很热情_简单_就是_还可以_不是_
213,ntu.nlp.component.WordWithEmotion@3930f249,不错_很舒适_
214,ntu.nlp.component.WordWithEmotion@3c72b3f4,大型_很差_太烂_是_
215,ntu.nlp.component.WordWithEmotion@e84772d,改建_没有_感觉_很新_冷_
216,ntu.nlp.component.WordWithEmotion@1aac32cd,很规范_丰富_
217,ntu.nlp.component.WordWithEmotion@1f3b3e69,极其不便_较差_
218,ntu.nlp.component.WordWithEmotion@6a7e6f83,本想_说_去_想_不可以_携程_取消_只好冒雨_取消_之前给_打_是_黑色_挂_
219,ntu.nlp.component.WordWithEmotion@12cb3814,特别吵_住_
220,ntu.nlp.component.WordWithEmotion@5bceb2af,陈旧_单上有_太重_
221,ntu.nlp.component.WordWithEmotion@5f352e3f,
222,ntu.nlp.component.WordWithEmotion@1c6f5aee,答应_强烈要求_还是给_靠近_才得以_太大_入住_安睡_更换_
223,ntu.nlp.component.WordWithEmotion@52bacdd7,很方便_就是_紧挨_有点闹心_强_可以_还看_直接饮用_是_有_
224,ntu.nlp.component.WordWithEmotion@662008af,太多_不好_
225,ntu.nlp.component.WordWithEmotion@411a4d8a,却是_又回前_没抬_换_办完_订_一直掉_没抬眼_
226,ntu.nlp.component.WordWithEmotion@25d8c06a,不隔音_休息_小_陈旧_
227,ntu.nlp.component.WordWithEmotion@3940828f,有_整洁_可以_上网_都好_有点大_打_
228,ntu.nlp.component.WordWithEmotion@3a3b97a6,还是不错_也可以_服务_也不错_
229,ntu.nlp.component.WordWithEmotion@1e613128,不要_有损_未挂牌_
230,ntu.nlp.component.WordWithEmotion@7ee248ac,有些不安_
231,ntu.nlp.component.WordWithEmotion@3a115548,小_不错_适合_
232,ntu.nlp.component.WordWithEmotion@47f607c0,有点大_整洁_都好_打_可以_有_上网_
233,ntu.nlp.component.WordWithEmotion@6976f328,要_注意_小休_是_走_否则要_不满意_加收_淋浴水_去_不能_只能_延迟_要_大约要_吃饭_比较小_
234,ntu.nlp.component.WordWithEmotion@55fd30,更好_入住_一般_住到_说_完全可以_不满意_不方便_入住_建议_不要_有_完全隔开_
235,ntu.nlp.component.WordWithEmotion@d615a7c,也可以_还不错_小_
